vfb0,vfb1,vfb2,vfb3,vfb4,vfb5,current0,current1,current2,current3,current4,current5
-0.189,-0.723,0.152,0.042,-0.014,0.017,-0.91376,2.55628,-1.39697,0.78115,-0.24595,-0.96678
-0.258,-0.314,0.204,0.052,0.021,0.017,-1.24736,1.1102,-1.87488,0.96713,0.36893,-0.96678
-0.325,-0.089,-0.437,0.08,0.037,0.017,-1.57128,0.31467,4.01629,1.4879,0.65002,-0.96678
0.017,0.455,-0.277,0.051,0.008,0.012,0.08219,-1.60873,2.5458,0.94853,0.14055,-0.68243
0.519,0.878,-0.314,-0.061,-0.033,-0.021,2.50922,-3.10431,2.88585,-1.13452,-0.57975,1.19426
-0.134,-0.34,-0.45,0.004,-0.013,-0.02,-0.64785,1.20213,4.13577,0.07439,-0.22839,1.13739
0.117,-0.373,-0.321,0.02,-0.031,-0.008,0.56566,1.3188,2.95018,0.37197,-0.54461,0.45496
0.447,0.188,-0.177,0.016,0.027,-0.027,2.16112,-0.6647,1.62674,0.29758,0.47434,1.53547
0.131,-0.469,-0.375,0.015,-0.033,-0.028,0.63335,1.65823,3.44647,0.27898,-0.57975,1.59234
-0.01,-0.508,-0.434,0.015,-0.014,0.015,-0.04835,1.79612,3.98872,0.27898,-0.24595,-0.85304
