vfb0,vfb1,vfb2,vfb3,vfb4,vfb5,current0,current1,current2,current3,current4,current5
-0.327,1.442,0.023,-0.001,-0.027,0.009,-1.58095,-5.09843,-0.21138,-0.0186,-0.47434,-0.51182
-0.312,-0.875,-0.293,0.026,-0.032,0.035,-1.50843,3.0937,2.69284,0.48357,-0.56218,-1.99043
0.147,1.478,0.253,-0.079,0.04,-0.003,0.7107,-5.22571,-2.32522,-1.4693,0.70273,0.17061
0.066,-0.686,0.15,-0.037,-0.011,-0.021,0.31909,2.42546,-1.37859,-0.68815,-0.19325,1.19426
-1.473,-1.142,-0.126,0.091,0.035,0.033,-7.12153,4.03773,1.15802,1.69248,0.61488,-1.87669
0.132,0.706,-0.25,0.075,0.022,0.018,0.63818,-2.49618,2.29765,1.3949,0.3865,-1.02365
1.368,1.37,0.075,-0.084,-0.043,-0.02,6.61389,-4.84386,-0.68929,-1.56229,-0.75543,1.13739
-0.702,-1.013,0.036,0.044,-0.048,-0.028,-3.39397,3.58163,-0.33086,0.81834,-0.84327,1.59234
-1.404,-0.406,-0.431,0.116,0.059,0.031,-6.78794,1.43548,3.96115,2.15745,1.03652,-1.76295
0.273,0.462,-0.277,0.017,0.022,-0.004,1.31988,-1.63348,2.5458,0.31618,0.3865,0.22748
