vfb0,vfb1,vfb2,vfb3,vfb4,vfb5,current0,current1,current2,current3,current4,current5
-0.639,-0.08,-0.648,0.088,0.047,0.022,-3.0894,0.28285,5.9555,1.6367,0.8257,-1.2511
-0.15,0.264,-0.298,0.033,0.005,0.013,-0.72521,-0.93341,2.7388,0.61376,0.08784,-0.7393
0.552,0.652,-0.001,-0.07,-0.034,-0.022,2.6688,-2.3053,0.00919,-1.3019,-0.59732,1.2511
0.618,0.376,0.517,-0.092,-0.05,-0.022,2.9878,-1.3294,-4.7515,-1.7111,-0.87841,1.2511
0.489,0.728,-0.33,-0.052,-0.024,-0.018,2.3642,-2.574,3.0329,-0.96713,-0.42164,1.0236
-0.582,-0.396,0.05,0.076,0.036,0.023,-2.8138,1.4001,-0.45953,1.4135,0.63245,-1.308
0.591,0.092,0.663,-0.088,-0.045,-0.022,2.8573,-0.32528,-6.0934,-1.6367,-0.79057,1.2511
-0.111,-0.44,0.272,-0.013,-0.017,-0.008,-0.53665,1.5557,-2.4998,-0.24178,-0.29866,0.45496
-0.591,-0.24,-0.221,0.074,0.036,0.021,-2.8573,0.84856,2.0311,1.3763,0.63245,-1.1943
0.552,0.432,0.145,-0.072,-0.029,-0.022,2.6688,-1.5274,-1.3326,-1.3391,-0.50948,1.2511
