vfb0,vfb1,vfb2,vfb3,vfb4,vfb5,current0,current1,current2,current3,current4,current5
0.244,0.528,-0.222,0.029,0.015,0.018,1.17967,-1.86683,2.04031,0.53936,0.26352,-1.02365
0.963,0.992,0.123,-0.077,-0.036,-0.03,4.65583,-3.50738,-1.13044,-1.4321,-0.63245,1.70608
-0.256,-0.648,0.249,-0.055,-0.016,-0.019,-1.23769,2.29111,-2.28846,-1.02293,-0.28109,1.08052
-0.096,0.44,-0.133,0.079,0.044,0.025,-0.46413,-1.55569,1.22235,1.4693,0.773,-1.42174
0.92,1.224,-0.319,-0.071,0.041,0.024,4.44794,-4.32765,2.9318,-1.32051,0.72029,-1.36487
-0.014,-0.18,-0.462,0.004,-0.006,-0.017,-0.06769,0.63642,4.24606,0.07439,-0.10541,0.96678
0.719,0.456,0.081,0.021,0.038,-0.021,3.47616,-1.61226,-0.74444,0.39057,0.66759,1.19426
0.014,-0.808,-0.353,0.029,-0.025,-0.017,0.06769,2.85682,3.24428,0.53936,-0.4392,0.96678
1.09,-0.5,-0.089,0.026,0.017,-0.01,5.26984,1.76783,0.81796,0.48357,0.29866,0.56869
-0.122,0.22,-0.589,0.026,0.016,-0.024,-0.58984,-0.77785,5.41326,0.48357,0.28109,1.36487
