vfb0,vfb1,vfb2,vfb3,vfb4,vfb5,current0,current1,current2,current3,current4,current5
0.3,-0.196,-0.373,0,-0.012,-0.022,1.4504,0.69299,3.4281,0,-0.21082,1.2511
0.396,-0.432,-0.104,0,0.026,-0.022,1.9145,1.5274,0.95582,0,0.45677,1.2511
0.42,-0.632,-0.182,0,0.013,-0.012,2.0306,2.2345,1.6727,0,0.22839,0.68243
0.231,-0.284,0.142,0,0.036,-0.01,1.1168,1.0041,-1.3051,0,0.63245,0.56869
0.285,-0.284,-0.337,0,-0.018,-0.012,1.3779,1.0041,3.0972,0,-0.31623,0.68243
0.267,-0.992,-0.08,0,0.028,-0.007,1.2909,3.5074,0.73525,0,0.49191,0.39809
0.168,-1.304,-0.089,0,0.029,-0.006,0.81223,4.6105,0.81796,0,0.50948,0.34122
0.285,0.2,0.284,0,0.027,-0.012,1.3779,-0.70713,-2.6101,0,0.47434,0.68243
0.198,0.388,0.349,0,0.027,-0.013,0.95727,-1.3718,-3.2075,0,0.47434,0.7393
-0.213,1.008,0.088,0,-0.018,0.002,-1.0298,-3.564,-0.80877,0,-0.31623,-0.11374
